IBOV - Carteira do Dia 12/01/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.481.593.024;2,316;2,316;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.705;0,722;0,722;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.593.725;0,209;2,157;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;995.335.937;0,613;2,157;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;198.184.909;0,071;2,157;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,264;2,157;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.677.525.446;0,941;2,563;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.472;1,231;2,563;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;331.799.687;0,139;2,563;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.036.182;0,082;2,563;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142.377.330;0,170;2,563;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.394.245.879;2,675;2,675;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.349.217.892;0,840;1,146;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,280;1,146;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,026;1,146;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;846.244.302;0,635;0,635;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;195.751.130;0,155;0,155;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;62.305.891;0,177;1,431;
Consumo Cíclico / Comércio;BHIA3;CASAS BAHIA;ON      NM;94.843.047;0,042;1,431;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,178;1,431;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;951.329.770;0,703;1,431;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON  ATZ NM;2.867.627.068;0,281;1,431;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;309.729.428;0,050;1,431;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;176.733.968;0,072;0,072;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;265.784.616;0,274;0,484;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;91.514.307;0,068;0,484;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;376.187.582;0,142;0,484;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525.582.771;0,076;0,076;
Diversos;COGN3;COGNA ON;ON      NM;1.814.920.980;0,269;3,056;
Diversos;RENT3;LOCALIZA;ON      NM;853.202.347;2,337;3,056;
